replicate,null_attr_pct
429,28.241498454264413
430,28.241498454264413
431,28.22331332969631
432,28.987088561556646
433,29.00527368612475
434,28.29605382796872
435,29.49627204946354
436,28.386979450809235
437,28.93253318785234
438,29.041643935260957
439,30.00545553737043
440,29.8236042916894
441,28.841607565011824
442,30.55100927441353
443,28.314238952536826
444,28.51427532278596
445,28.33242407710493
446,28.805237315875615
447,29.805419167121293
448,29.00527368612475
449,28.877977814148025
450,28.29605382796872
451,28.7506819421713
452,29.241680305510094
453,28.659756319330786
454,29.241680305510094
455,28.96890343698854
456,29.42353155119112
457,29.259865430078197
458,29.56901254773595
459,28.314238952536826
460,29.914529914529915
461,29.296235679214405
462,29.096199308965264
463,29.38716130205492
464,29.278050554646303
465,29.059829059829063
466,29.49627204946354
467,29.041643935260957
468,29.805419167121293
469,27.84142571376614
470,28.805237315875615
471,30.260047281323878
472,29.659938170576467
473,28.659756319330786
474,29.878159665393706
475,29.49627204946354
476,27.89598108747045
477,29.67812329514457
478,29.859974540825608
479,28.07783233315148
480,29.60538279687216
481,29.33260592835061
482,28.459719949081652
483,28.93253318785234
484,28.29605382796872
485,29.350791052918712
486,29.22349518094199
487,28.51427532278596
488,28.441534824513546
489,29.041643935260957
490,28.49609019821786
491,28.805237315875615
492,29.205310056373886
493,29.368976177486815
494,29.38716130205492
495,29.205310056373886
496,28.93253318785234
497,29.22349518094199
498,28.641571194762683
499,28.368794326241137
500,28.95071831242044
501,28.93253318785234
502,29.587197672304054
503,30.132751409347154
504,29.15075468266958
505,29.041643935260957
506,28.768867066739407
507,28.659756319330786
508,29.45990180032733
509,29.18712493180578
510,29.33260592835061
511,28.696126568466994
512,28.78705219130751
513,29.478086924895436
514,29.696308419712675
515,28.641571194762683
516,29.18712493180578
517,29.22349518094199
518,28.877977814148025
519,29.405346426623026
520,28.550645571922168
521,29.205310056373886
522,29.041643935260957
523,29.078014184397162
524,28.205128205128204
525,28.7324968176032
526,29.45990180032733
527,29.42353155119112
528,29.296235679214405
529,29.278050554646303
530,28.205128205128204
531,28.987088561556646
532,27.986906710310965
533,29.750863793416986
534,28.805237315875615
535,29.350791052918712
536,29.732678668848884
537,29.078014184397162
538,28.56883069649027
539,29.314420803782504
540,28.550645571922168
541,29.132569558101473
542,29.023458810692855
543,29.18712493180578
544,28.805237315875615
545,28.49609019821786
546,28.56883069649027
547,28.40516457537734
548,28.641571194762683
549,29.550827423167846
550,29.15075468266958
551,29.78723404255319
552,29.49627204946354
553,29.405346426623026
554,28.059647208583378
555,28.987088561556646
556,29.441716675759228
557,29.296235679214405
558,28.93253318785234
559,29.805419167121293
560,28.25968357883252
561,29.00527368612475
562,29.478086924895436
563,28.987088561556646
564,28.477905073649758
565,29.550827423167846
566,28.93253318785234
567,28.805237315875615
568,29.49627204946354
569,28.587015821058376
570,28.7324968176032
571,28.314238952536826
572,29.441716675759228
573,28.95071831242044
574,29.041643935260957
575,28.7324968176032
576,29.241680305510094
577,29.67812329514457
578,29.49627204946354
579,29.241680305510094
580,29.16893980723768
581,28.96890343698854
582,30.31460265502819
583,28.67794144389889
584,29.932715039098017
585,28.696126568466994
586,29.56901254773595
587,28.459719949081652
588,28.550645571922168
589,28.587015821058376
590,28.93253318785234
591,29.11438443353337
592,29.078014184397162
593,29.368976177486815
594,29.205310056373886
595,28.805237315875615
596,28.277868703400618
597,28.51427532278596
598,28.859792689579923
599,28.7506819421713
600,28.641571194762683
601,30.405528277868704
602,28.89616293871613
603,29.532642298599743
604,28.95071831242044
605,28.29605382796872
606,29.78723404255319
607,28.60520094562648
608,28.7506819421713
609,28.659756319330786
610,28.386979450809235
611,28.49609019821786
612,30.169121658483363
613,29.714493544280778
614,28.95071831242044
615,29.514457174031644
616,28.96890343698854
617,30.078196035642847
618,29.00527368612475
619,28.25968357883252
620,28.53246044735406
621,28.89616293871613
622,29.205310056373886
623,28.60520094562648
624,28.914348063284233
625,28.877977814148025
626,28.914348063284233
627,28.67794144389889
628,28.7324968176032
629,29.8236042916894
630,29.00527368612475
631,28.441534824513546
632,29.805419167121293
633,28.914348063284233
634,29.059829059829063
635,29.132569558101473
636,28.33242407710493
637,28.386979450809235
638,29.514457174031644
639,28.023276959447173
640,28.877977814148025
641,29.714493544280778
